"","focalid","role","dyadid","outcome","focalcode","partcode","obs"
"377",153,1,1533,2.5,0,1,15331
"378",153,2,1533,2,1,0,15332
"379",155,1,1551,2,0,1,15511
"380",155,2,1551,5,1,0,15512
"381",155,1,1552,2.66666666666667,0,1,15521
"382",155,2,1552,1.66666666666667,1,0,15522
"383",155,1,1553,2,0,1,15531
"384",155,2,1553,1.33333333333333,1,0,15532
"385",160,1,1601,2.16666666666667,0,1,16011
"386",160,2,1601,1,1,0,16012
"387",160,1,1602,1.83333333333333,0,1,16021
"388",160,2,1602,1,1,0,16022
"389",160,1,1603,1.83333333333333,0,1,16031
"390",160,2,1603,1,1,0,16032
"391",161,1,1611,3,0,1,16111
"392",161,2,1611,3,1,0,16112
"393",161,1,1612,1.5,0,1,16121
"394",161,2,1612,1,1,0,16122
"395",161,1,1613,3.66666666666667,0,1,16131
"396",161,2,1613,1.66666666666667,1,0,16132
"397",165,1,1651,1,0,1,16511
"398",165,2,1651,1.16666666666667,1,0,16512
"399",165,1,1652,1.33333333333333,0,1,16521
"400",165,2,1652,1,1,0,16522
"401",165,1,1653,3.66666666666667,0,1,16531
"402",165,2,1653,3.42261904761905,1,0,16532
"403",166,1,1661,3,0,1,16611
"404",166,2,1661,1,1,0,16612
"405",166,1,1662,3.16666666666667,0,1,16621
"406",166,2,1662,2.5,1,0,16622
"407",166,1,1663,3.66666666666667,0,1,16631
"408",166,2,1663,1.5,1,0,16632
"409",168,1,1681,3.83333333333333,0,1,16811
"410",168,2,1681,3,1,0,16812
"411",168,1,1682,1.16666666666667,0,1,16821
"412",168,2,1682,1.33333333333333,1,0,16822
"413",168,1,1683,2.5,0,1,16831
"414",168,2,1683,3,1,0,16832
"415",170,1,1701,1.33333333333333,0,1,17011
"416",170,2,1701,3.16666666666667,1,0,17012
"417",170,1,1702,1.16666666666667,0,1,17021
"418",170,2,1702,1.33333333333333,1,0,17022
"419",170,1,1703,1.66666666666667,0,1,17031
"420",170,2,1703,1.83333333333333,1,0,17032
"421",171,1,1711,3.16666666666667,0,1,17111
"422",171,2,1711,2.5,1,0,17112
"423",171,1,1712,2.83333333333333,0,1,17121
"424",171,2,1712,1.33333333333333,1,0,17122
"425",171,1,1713,2.83333333333333,0,1,17131
"426",171,2,1713,2,1,0,17132
"427",179,1,1791,1.33333333333333,0,1,17911
"428",179,2,1791,1.33333333333333,1,0,17912
"429",179,1,1792,1.5,0,1,17921
"430",179,2,1792,1.33333333333333,1,0,17922
"431",179,1,1793,1.5,0,1,17931
"432",179,2,1793,1.66666666666667,1,0,17932
"433",182,1,1821,1.5,0,1,18211
"434",182,2,1821,1.66666666666667,1,0,18212
"435",182,1,1822,1.5,0,1,18221
"436",182,2,1822,1.33333333333333,1,0,18222
"437",182,1,1823,2.16666666666667,0,1,18231
"438",182,2,1823,1.5,1,0,18232
"439",183,1,1831,3,0,1,18311
"440",183,2,1831,2.16666666666667,1,0,18312
"441",183,1,1832,2.83333333333333,0,1,18321
"442",183,2,1832,1,1,0,18322
"443",183,1,1833,1.5,0,1,18331
"444",183,2,1833,1.66666666666667,1,0,18332
"445",193,1,1931,1,0,1,19311
"446",193,2,1931,1,1,0,19312
"447",193,1,1932,1.66666666666667,0,1,19321
"448",193,2,1932,1,1,0,19322
"449",193,1,1933,1,0,1,19331
"450",193,2,1933,1,1,0,19332
"451",194,1,1941,2.16666666666667,0,1,19411
"452",194,2,1941,1.16666666666667,1,0,19412
"453",194,1,1942,1.5,0,1,19421
"454",194,2,1942,1.83333333333333,1,0,19422
"455",194,1,1943,1.16666666666667,0,1,19431
"456",194,2,1943,1.83333333333333,1,0,19432
"457",197,1,1971,2.16666666666667,0,1,19711
"458",197,2,1971,3.83333333333333,1,0,19712
"459",197,1,1972,1,0,1,19721
"460",197,2,1972,2.66666666666667,1,0,19722
"461",197,1,1973,2.83333333333333,0,1,19731
"462",197,2,1973,2.66666666666667,1,0,19732
"463",198,1,1981,1,0,1,19811
"464",198,2,1981,1,1,0,19812
"465",198,1,1982,1,0,1,19821
"466",198,2,1982,1,1,0,19822
"467",198,1,1983,1,0,1,19831
"468",198,2,1983,1.33333333333333,1,0,19832
"469",236,1,2361,1.92560801144492,0,1,23611
"470",236,2,2361,4.16666666666667,1,0,23612
"471",236,1,2362,1,0,1,23621
"472",236,2,2362,1.83333333333333,1,0,23622
"473",236,1,2363,3.83333333333333,0,1,23631
"474",236,2,2363,3.5,1,0,23632
"475",240,1,2401,2,0,1,24011
"476",240,2,2401,1,1,0,24012
"477",240,1,2402,2.33333333333333,0,1,24021
"478",240,2,2402,1,1,0,24022
"479",240,1,2403,2.5,0,1,24031
"480",240,2,2403,1.33333333333333,1,0,24032
"481",260,1,2601,1.5,0,1,26011
"482",260,2,2601,1.83333333333333,1,0,26012
"483",260,1,2602,1.33333333333333,0,1,26021
"484",260,2,2602,1,1,0,26022
"485",260,1,2603,1,0,1,26031
"486",260,2,2603,1.83333333333333,1,0,26032
"487",263,1,2631,2.16666666666667,0,1,26311
"488",263,2,2631,2,1,0,26312
"489",263,1,2632,2,0,1,26321
"490",263,2,2632,1,1,0,26322
"491",263,1,2633,2.33333333333333,0,1,26331
"492",263,2,2633,2.5,1,0,26332
"493",265,1,2651,1,0,1,26511
"494",265,2,2651,3.83333333333333,1,0,26512
"495",265,1,2652,1,0,1,26521
