"focalid","role","dyadid","outcome","focalcode","partcode","obs"
236,1,2362,1,0,1,23621
236,2,2362,1.83333333333333,1,0,23622
236,1,2363,3.83333333333333,0,1,23631
236,2,2363,3.5,1,0,23632
240,1,2401,2,0,1,24011
240,2,2401,1,1,0,24012
240,1,2402,2.33333333333333,0,1,24021
240,2,2402,1,1,0,24022
240,1,2403,2.5,0,1,24031
240,2,2403,1.33333333333333,1,0,24032
260,1,2601,1.5,0,1,26011
260,2,2601,1.83333333333333,1,0,26012
260,1,2602,1.33333333333333,0,1,26021
260,2,2602,1,1,0,26022
260,1,2603,1,0,1,26031
260,2,2603,1.83333333333333,1,0,26032
263,1,2631,2.16666666666667,0,1,26311
263,2,2631,2,1,0,26312
263,1,2632,2,0,1,26321
263,2,2632,1,1,0,26322
263,1,2633,2.33333333333333,0,1,26331
263,2,2633,2.5,1,0,26332
265,1,2651,1,0,1,26511
265,2,2651,3.83333333333333,1,0,26512
265,1,2652,1,0,1,26521
265,2,2652,1,1,0,26522
265,1,2653,1,0,1,26531
265,2,2653,1.5,1,0,26532
266,1,2661,1.83333333333333,0,1,26611
266,2,2661,1,1,0,26612
266,1,2662,2,0,1,26621
266,2,2662,1.16666666666667,1,0,26622
266,1,2663,1.83333333333333,0,1,26631
266,2,2663,1.16666666666667,1,0,26632
269,1,2691,1,0,1,26911
269,2,2691,2,1,0,26912
269,1,2692,1.33333333333333,0,1,26921
269,2,2692,1,1,0,26922
269,1,2693,1.5,0,1,26931
269,2,2693,1,1,0,26932
271,1,2711,1.66666666666667,0,1,27111
271,2,2711,1.33333333333333,1,0,27112
271,1,2712,1.16666666666667,0,1,27121
271,2,2712,1,1,0,27122
271,1,2713,1.66666666666667,0,1,27131
271,2,2713,2,1,0,27132
275,1,2751,1.66666666666667,0,1,27511
275,2,2751,3.5,1,0,27512
275,1,2752,1.16666666666667,0,1,27521
275,2,2752,3.16666666666667,1,0,27522
275,1,2753,1.33333333333333,0,1,27531
275,2,2753,2.16666666666667,1,0,27532
276,1,2761,1,0,1,27611
276,2,2761,1.16666666666667,1,0,27612
276,1,2762,2,0,1,27621
276,2,2762,2,1,0,27622
276,1,2763,2.33333333333333,0,1,27631
276,2,2763,2.16666666666667,1,0,27632
281,1,2811,2,0,1,28111
281,2,2811,1.33333333333333,1,0,28112
281,1,2812,1,0,1,28121
281,2,2812,1,1,0,28122
281,1,2813,1,0,1,28131
281,2,2813,1,1,0,28132
283,1,2831,1.33333333333333,0,1,28311
283,2,2831,1,1,0,28312
283,1,2832,1,0,1,28321
283,2,2832,1,1,0,28322
283,1,2833,1,0,1,28331
283,2,2833,1,1,0,28332
284,1,2841,2.16666666666667,0,1,28411
284,2,2841,2.66666666666667,1,0,28412
284,1,2842,2.5,0,1,28421
284,2,2842,1.33333333333333,1,0,28422
